Epoch [66/100], Total Loss: 0.0507, Reconstruction Loss: 0.0484, KL Loss: 0.0022
Epoch [67/100], Total Loss: 0.0507, Reconstruction Loss: 0.0484, KL Loss: 0.0022
Epoch [68/100], Total Loss: 0.0505, Reconstruction Loss: 0.0483, KL Loss: 0.0022
Epoch [69/100], Total Loss: 0.0504, Reconstruction Loss: 0.0482, KL Loss: 0.0022
Epoch [70/100], Total Loss: 0.0503, Reconstruction Loss: 0.0481, KL Loss: 0.0022
Epoch [71/100], Total Loss: 0.0502, Reconstruction Loss: 0.0479, KL Loss: 0.0022
Epoch [72/100], Total Loss: 0.0501, Reconstruction Loss: 0.0479, KL Loss: 0.0023
Epoch [73/100], Total Loss: 0.0500, Reconstruction Loss: 0.0478, KL Loss: 0.0023
Epoch [74/100], Total Loss: 0.0500, Reconstruction Loss: 0.0477, KL Loss: 0.0023
Epoch [75/100], Total Loss: 0.0498, Reconstruction Loss: 0.0476, KL Loss: 0.0023
Epoch [76/100], Total Loss: 0.0497, Reconstruction Loss: 0.0475, KL Loss: 0.0023
Epoch [77/100], Total Loss: 0.0497, Reconstruction Loss: 0.0475, KL Loss: 0.0023
Epoch [78/100], Total Loss: 0.0496, Reconstruction Loss: 0.0474, KL Loss: 0.0023
Epoch [79/100], Total Loss: 0.0495, Reconstruction Loss: 0.0472, KL Loss: 0.0023
Epoch [80/100], Total Loss: 0.0494, Reconstruction Loss: 0.0472, KL Loss: 0.0023
Epoch [81/100], Total Loss: 0.0494, Reconstruction Loss: 0.0471, KL Loss: 0.0023
Epoch [82/100], Total Loss: 0.0492, Reconstruction Loss: 0.0470, KL Loss: 0.0023
Epoch [83/100], Total Loss: 0.0492, Reconstruction Loss: 0.0469, KL Loss: 0.0023
Epoch [84/100], Total Loss: 0.0491, Reconstruction Loss: 0.0468, KL Loss: 0.0023
Epoch [85/100], Total Loss: 0.0491, Reconstruction Loss: 0.0468, KL Loss: 0.0023
Epoch [86/100], Total Loss: 0.0490, Reconstruction Loss: 0.0467, KL Loss: 0.0023
Epoch [87/100], Total Loss: 0.0489, Reconstruction Loss: 0.0466, KL Loss: 0.0023
Epoch [88/100], Total Loss: 0.0488, Reconstruction Loss: 0.0465, KL Loss: 0.0023
Epoch [89/100], Total Loss: 0.0487, Reconstruction Loss: 0.0464, KL Loss: 0.0023
Epoch [90/100], Total Loss: 0.0487, Reconstruction Loss: 0.0465, KL Loss: 0.0023
Epoch [91/100], Total Loss: 0.0485, Reconstruction Loss: 0.0463, KL Loss: 0.0023
Epoch [92/100], Total Loss: 0.0485, Reconstruction Loss: 0.0462, KL Loss: 0.0023
Epoch [93/100], Total Loss: 0.0484, Reconstruction Loss: 0.0462, KL Loss: 0.0023
Epoch [94/100], Total Loss: 0.0484, Reconstruction Loss: 0.0461, KL Loss: 0.0023
Epoch [95/100], Total Loss: 0.0483, Reconstruction Loss: 0.0460, KL Loss: 0.0023
Epoch [96/100], Total Loss: 0.0482, Reconstruction Loss: 0.0459, KL Loss: 0.0023
Epoch [97/100], Total Loss: 0.0482, Reconstruction Loss: 0.0459, KL Loss: 0.0023
Epoch [98/100], Total Loss: 0.0481, Reconstruction Loss: 0.0459, KL Loss: 0.0023
Epoch [99/100], Total Loss: 0.0480, Reconstruction Loss: 0.0458, KL Loss: 0.0023
Epoch [100/100], Total Loss: 0.0479, Reconstruction Loss: 0.0457, KL Loss: 0.0023
