Epoch [1/100], Total Loss: 1.6446, Reconstruction Loss: 1.1576, KL Loss: 0.4870
Epoch [2/100], Total Loss: 0.9402, Reconstruction Loss: 0.4735, KL Loss: 0.4667
Epoch [3/100], Total Loss: 0.8667, Reconstruction Loss: 0.4091, KL Loss: 0.4576
Epoch [4/100], Total Loss: 0.8365, Reconstruction Loss: 0.3818, KL Loss: 0.4547
Epoch [5/100], Total Loss: 0.8184, Reconstruction Loss: 0.3657, KL Loss: 0.4527
Epoch [6/100], Total Loss: 0.8055, Reconstruction Loss: 0.3545, KL Loss: 0.4509
Epoch [7/100], Total Loss: 0.7959, Reconstruction Loss: 0.3465, KL Loss: 0.4495
Epoch [8/100], Total Loss: 0.7884, Reconstruction Loss: 0.3402, KL Loss: 0.4483
Epoch [9/100], Total Loss: 0.7823, Reconstruction Loss: 0.3351, KL Loss: 0.4473
Epoch [10/100], Total Loss: 0.7770, Reconstruction Loss: 0.3309, KL Loss: 0.4462
Epoch [11/100], Total Loss: 0.7729, Reconstruction Loss: 0.3274, KL Loss: 0.4455
Epoch [12/100], Total Loss: 0.7690, Reconstruction Loss: 0.3242, KL Loss: 0.4449
Epoch [13/100], Total Loss: 0.7659, Reconstruction Loss: 0.3214, KL Loss: 0.4444
Epoch [14/100], Total Loss: 0.7628, Reconstruction Loss: 0.3191, KL Loss: 0.4438
Epoch [15/100], Total Loss: 0.7604, Reconstruction Loss: 0.3171, KL Loss: 0.4433
Epoch [16/100], Total Loss: 0.7582, Reconstruction Loss: 0.3151, KL Loss: 0.4431
Epoch [17/100], Total Loss: 0.7557, Reconstruction Loss: 0.3133, KL Loss: 0.4424
Epoch [18/100], Total Loss: 0.7538, Reconstruction Loss: 0.3117, KL Loss: 0.4421
Epoch [19/100], Total Loss: 0.7520, Reconstruction Loss: 0.3103, KL Loss: 0.4417
Epoch [20/100], Total Loss: 0.7503, Reconstruction Loss: 0.3090, KL Loss: 0.4413
Epoch [21/100], Total Loss: 0.7489, Reconstruction Loss: 0.3079, KL Loss: 0.4410
Epoch [22/100], Total Loss: 0.7473, Reconstruction Loss: 0.3066, KL Loss: 0.4407
Epoch [23/100], Total Loss: 0.7459, Reconstruction Loss: 0.3055, KL Loss: 0.4404
Epoch [24/100], Total Loss: 0.7447, Reconstruction Loss: 0.3046, KL Loss: 0.4402
Epoch [25/100], Total Loss: 0.7433, Reconstruction Loss: 0.3036, KL Loss: 0.4397
Epoch [26/100], Total Loss: 0.7419, Reconstruction Loss: 0.3025, KL Loss: 0.4394
Epoch [27/100], Total Loss: 0.7408, Reconstruction Loss: 0.3017, KL Loss: 0.4391
Epoch [28/100], Total Loss: 0.7399, Reconstruction Loss: 0.3011, KL Loss: 0.4388
Epoch [29/100], Total Loss: 0.7389, Reconstruction Loss: 0.3002, KL Loss: 0.4387
Epoch [30/100], Total Loss: 0.7378, Reconstruction Loss: 0.2997, KL Loss: 0.4381
Epoch [31/100], Total Loss: 0.7368, Reconstruction Loss: 0.2989, KL Loss: 0.4379
Epoch [32/100], Total Loss: 0.7360, Reconstruction Loss: 0.2984, KL Loss: 0.4377
Epoch [33/100], Total Loss: 0.7350, Reconstruction Loss: 0.2976, KL Loss: 0.4375
Epoch [34/100], Total Loss: 0.7341, Reconstruction Loss: 0.2970, KL Loss: 0.4370
Epoch [35/100], Total Loss: 0.7335, Reconstruction Loss: 0.2966, KL Loss: 0.4369
Epoch [36/100], Total Loss: 0.7328, Reconstruction Loss: 0.2960, KL Loss: 0.4368
Epoch [37/100], Total Loss: 0.7319, Reconstruction Loss: 0.2955, KL Loss: 0.4364
Epoch [38/100], Total Loss: 0.7312, Reconstruction Loss: 0.2949, KL Loss: 0.4363
Epoch [39/100], Total Loss: 0.7306, Reconstruction Loss: 0.2945, KL Loss: 0.4361
Epoch [40/100], Total Loss: 0.7300, Reconstruction Loss: 0.2940, KL Loss: 0.4360
Epoch [41/100], Total Loss: 0.7292, Reconstruction Loss: 0.2936, KL Loss: 0.4357
Epoch [42/100], Total Loss: 0.7286, Reconstruction Loss: 0.2931, KL Loss: 0.4356
Epoch [43/100], Total Loss: 0.7282, Reconstruction Loss: 0.2927, KL Loss: 0.4355
Epoch [44/100], Total Loss: 0.7275, Reconstruction Loss: 0.2922, KL Loss: 0.4353
Epoch [45/100], Total Loss: 0.7272, Reconstruction Loss: 0.2920, KL Loss: 0.4352
Epoch [46/100], Total Loss: 0.7266, Reconstruction Loss: 0.2917, KL Loss: 0.4349
Epoch [47/100], Total Loss: 0.7261, Reconstruction Loss: 0.2912, KL Loss: 0.4349
Epoch [48/100], Total Loss: 0.7256, Reconstruction Loss: 0.2909, KL Loss: 0.4347
Epoch [49/100], Total Loss: 0.7252, Reconstruction Loss: 0.2905, KL Loss: 0.4347
Epoch [50/100], Total Loss: 0.7246, Reconstruction Loss: 0.2902, KL Loss: 0.4344
Epoch [51/100], Total Loss: 0.7241, Reconstruction Loss: 0.2898, KL Loss: 0.4343
Epoch [52/100], Total Loss: 0.7238, Reconstruction Loss: 0.2896, KL Loss: 0.4342
Epoch [53/100], Total Loss: 0.7233, Reconstruction Loss: 0.2893, KL Loss: 0.4340
Epoch [54/100], Total Loss: 0.7231, Reconstruction Loss: 0.2890, KL Loss: 0.4342
Epoch [55/100], Total Loss: 0.7227, Reconstruction Loss: 0.2886, KL Loss: 0.4341
Epoch [56/100], Total Loss: 0.7222, Reconstruction Loss: 0.2883, KL Loss: 0.4339
Epoch [57/100], Total Loss: 0.7219, Reconstruction Loss: 0.2881, KL Loss: 0.4337
Epoch [58/100], Total Loss: 0.7216, Reconstruction Loss: 0.2879, KL Loss: 0.4336
Epoch [59/100], Total Loss: 0.7210, Reconstruction Loss: 0.2875, KL Loss: 0.4335
Epoch [60/100], Total Loss: 0.7208, Reconstruction Loss: 0.2875, KL Loss: 0.4333
Epoch [61/100], Total Loss: 0.7205, Reconstruction Loss: 0.2873, KL Loss: 0.4333
Epoch [62/100], Total Loss: 0.7202, Reconstruction Loss: 0.2870, KL Loss: 0.4332
Epoch [63/100], Total Loss: 0.7198, Reconstruction Loss: 0.2866, KL Loss: 0.4332
Epoch [64/100], Total Loss: 0.7195, Reconstruction Loss: 0.2865, KL Loss: 0.4331
Epoch [65/100], Total Loss: 0.7193, Reconstruction Loss: 0.2862, KL Loss: 0.4331
Epoch [66/100], Total Loss: 0.7190, Reconstruction Loss: 0.2861, KL Loss: 0.4329
Epoch [67/100], Total Loss: 0.7185, Reconstruction Loss: 0.2858, KL Loss: 0.4327
Epoch [68/100], Total Loss: 0.7186, Reconstruction Loss: 0.2858, KL Loss: 0.4328
Epoch [69/100], Total Loss: 0.7181, Reconstruction Loss: 0.2855, KL Loss: 0.4327
Epoch [70/100], Total Loss: 0.7179, Reconstruction Loss: 0.2853, KL Loss: 0.4326
Epoch [71/100], Total Loss: 0.7175, Reconstruction Loss: 0.2851, KL Loss: 0.4325
Epoch [72/100], Total Loss: 0.7171, Reconstruction Loss: 0.2848, KL Loss: 0.4323
Epoch [73/100], Total Loss: 0.7171, Reconstruction Loss: 0.2848, KL Loss: 0.4323
Epoch [74/100], Total Loss: 0.7165, Reconstruction Loss: 0.2844, KL Loss: 0.4321
Epoch [75/100], Total Loss: 0.7165, Reconstruction Loss: 0.2843, KL Loss: 0.4322
Epoch [76/100], Total Loss: 0.7163, Reconstruction Loss: 0.2842, KL Loss: 0.4322
Epoch [77/100], Total Loss: 0.7161, Reconstruction Loss: 0.2839, KL Loss: 0.4322
Epoch [78/100], Total Loss: 0.7157, Reconstruction Loss: 0.2838, KL Loss: 0.4319
Epoch [79/100], Total Loss: 0.7156, Reconstruction Loss: 0.2837, KL Loss: 0.4319
Epoch [80/100], Total Loss: 0.7152, Reconstruction Loss: 0.2834, KL Loss: 0.4318
Epoch [81/100], Total Loss: 0.7150, Reconstruction Loss: 0.2832, KL Loss: 0.4318
Epoch [82/100], Total Loss: 0.7149, Reconstruction Loss: 0.2831, KL Loss: 0.4318
Epoch [83/100], Total Loss: 0.7145, Reconstruction Loss: 0.2829, KL Loss: 0.4317
Epoch [84/100], Total Loss: 0.7144, Reconstruction Loss: 0.2828, KL Loss: 0.4316
Epoch [85/100], Total Loss: 0.7141, Reconstruction Loss: 0.2827, KL Loss: 0.4315
Epoch [86/100], Total Loss: 0.7139, Reconstruction Loss: 0.2825, KL Loss: 0.4314
Epoch [87/100], Total Loss: 0.7138, Reconstruction Loss: 0.2823, KL Loss: 0.4315
Epoch [88/100], Total Loss: 0.7135, Reconstruction Loss: 0.2821, KL Loss: 0.4313
Epoch [89/100], Total Loss: 0.7133, Reconstruction Loss: 0.2821, KL Loss: 0.4312
Epoch [90/100], Total Loss: 0.7133, Reconstruction Loss: 0.2820, KL Loss: 0.4312
Epoch [91/100], Total Loss: 0.7129, Reconstruction Loss: 0.2818, KL Loss: 0.4311
Epoch [92/100], Total Loss: 0.7127, Reconstruction Loss: 0.2816, KL Loss: 0.4311
Epoch [93/100], Total Loss: 0.7124, Reconstruction Loss: 0.2814, KL Loss: 0.4310
Epoch [94/100], Total Loss: 0.7124, Reconstruction Loss: 0.2814, KL Loss: 0.4310
Epoch [95/100], Total Loss: 0.7120, Reconstruction Loss: 0.2812, KL Loss: 0.4309
Epoch [96/100], Total Loss: 0.7120, Reconstruction Loss: 0.2811, KL Loss: 0.4309
Epoch [97/100], Total Loss: 0.7117, Reconstruction Loss: 0.2810, KL Loss: 0.4307
Epoch [98/100], Total Loss: 0.7116, Reconstruction Loss: 0.2808, KL Loss: 0.4308
Epoch [99/100], Total Loss: 0.7112, Reconstruction Loss: 0.2806, KL Loss: 0.4307
Epoch [100/100], Total Loss: 0.7112, Reconstruction Loss: 0.2805, KL Loss: 0.4307
