Epoch [1/100], Total Loss: 1.7026, Reconstruction Loss: 1.2303, KL Loss: 0.4723
Epoch [2/100], Total Loss: 0.9369, Reconstruction Loss: 0.4724, KL Loss: 0.4645
Epoch [3/100], Total Loss: 0.8605, Reconstruction Loss: 0.4042, KL Loss: 0.4562
Epoch [4/100], Total Loss: 0.8295, Reconstruction Loss: 0.3763, KL Loss: 0.4532
Epoch [5/100], Total Loss: 0.8121, Reconstruction Loss: 0.3611, KL Loss: 0.4510
Epoch [6/100], Total Loss: 0.7993, Reconstruction Loss: 0.3504, KL Loss: 0.4488
Epoch [7/100], Total Loss: 0.7899, Reconstruction Loss: 0.3427, KL Loss: 0.4472
Epoch [8/100], Total Loss: 0.7822, Reconstruction Loss: 0.3366, KL Loss: 0.4457
Epoch [9/100], Total Loss: 0.7762, Reconstruction Loss: 0.3315, KL Loss: 0.4448
Epoch [10/100], Total Loss: 0.7713, Reconstruction Loss: 0.3274, KL Loss: 0.4438
Epoch [11/100], Total Loss: 0.7671, Reconstruction Loss: 0.3239, KL Loss: 0.4433
Epoch [12/100], Total Loss: 0.7635, Reconstruction Loss: 0.3209, KL Loss: 0.4426
Epoch [13/100], Total Loss: 0.7602, Reconstruction Loss: 0.3183, KL Loss: 0.4419
Epoch [14/100], Total Loss: 0.7575, Reconstruction Loss: 0.3161, KL Loss: 0.4414
Epoch [15/100], Total Loss: 0.7551, Reconstruction Loss: 0.3141, KL Loss: 0.4409
Epoch [16/100], Total Loss: 0.7531, Reconstruction Loss: 0.3124, KL Loss: 0.4407
Epoch [17/100], Total Loss: 0.7508, Reconstruction Loss: 0.3109, KL Loss: 0.4399
Epoch [18/100], Total Loss: 0.7492, Reconstruction Loss: 0.3095, KL Loss: 0.4397
Epoch [19/100], Total Loss: 0.7476, Reconstruction Loss: 0.3083, KL Loss: 0.4393
Epoch [20/100], Total Loss: 0.7456, Reconstruction Loss: 0.3068, KL Loss: 0.4388
Epoch [21/100], Total Loss: 0.7442, Reconstruction Loss: 0.3057, KL Loss: 0.4385
Epoch [22/100], Total Loss: 0.7426, Reconstruction Loss: 0.3044, KL Loss: 0.4382
Epoch [23/100], Total Loss: 0.7415, Reconstruction Loss: 0.3036, KL Loss: 0.4379
Epoch [24/100], Total Loss: 0.7403, Reconstruction Loss: 0.3027, KL Loss: 0.4376
