Epoch [66/100], Total Loss: 2.4976, Reconstruction Loss: 1.1268, KL Loss: 1.3708
Epoch [67/100], Total Loss: 2.4964, Reconstruction Loss: 1.1256, KL Loss: 1.3708
Epoch [68/100], Total Loss: 2.4960, Reconstruction Loss: 1.1254, KL Loss: 1.3706
Epoch [69/100], Total Loss: 2.4949, Reconstruction Loss: 1.1246, KL Loss: 1.3703
Epoch [70/100], Total Loss: 2.4940, Reconstruction Loss: 1.1235, KL Loss: 1.3705
Epoch [71/100], Total Loss: 2.4937, Reconstruction Loss: 1.1236, KL Loss: 1.3700
Epoch [72/100], Total Loss: 2.4920, Reconstruction Loss: 1.1225, KL Loss: 1.3695
Epoch [73/100], Total Loss: 2.4914, Reconstruction Loss: 1.1224, KL Loss: 1.3690
Epoch [74/100], Total Loss: 2.4914, Reconstruction Loss: 1.1216, KL Loss: 1.3698
Epoch [75/100], Total Loss: 2.4894, Reconstruction Loss: 1.1216, KL Loss: 1.3678
Epoch [76/100], Total Loss: 2.4892, Reconstruction Loss: 1.1211, KL Loss: 1.3681
Epoch [77/100], Total Loss: 2.4885, Reconstruction Loss: 1.1200, KL Loss: 1.3686
Epoch [78/100], Total Loss: 2.4875, Reconstruction Loss: 1.1201, KL Loss: 1.3675
Epoch [79/100], Total Loss: 2.4871, Reconstruction Loss: 1.1190, KL Loss: 1.3682
Epoch [80/100], Total Loss: 2.4863, Reconstruction Loss: 1.1185, KL Loss: 1.3678
Epoch [81/100], Total Loss: 2.4848, Reconstruction Loss: 1.1177, KL Loss: 1.3671
Epoch [82/100], Total Loss: 2.4842, Reconstruction Loss: 1.1178, KL Loss: 1.3664
Epoch [83/100], Total Loss: 2.4833, Reconstruction Loss: 1.1171, KL Loss: 1.3662
Epoch [84/100], Total Loss: 2.4842, Reconstruction Loss: 1.1170, KL Loss: 1.3672
Epoch [85/100], Total Loss: 2.4832, Reconstruction Loss: 1.1165, KL Loss: 1.3667
Epoch [86/100], Total Loss: 2.4820, Reconstruction Loss: 1.1158, KL Loss: 1.3662
Epoch [87/100], Total Loss: 2.4811, Reconstruction Loss: 1.1148, KL Loss: 1.3663
Epoch [88/100], Total Loss: 2.4804, Reconstruction Loss: 1.1146, KL Loss: 1.3658
Epoch [89/100], Total Loss: 2.4803, Reconstruction Loss: 1.1141, KL Loss: 1.3662
Epoch [90/100], Total Loss: 2.4797, Reconstruction Loss: 1.1140, KL Loss: 1.3657
Epoch [91/100], Total Loss: 2.4790, Reconstruction Loss: 1.1135, KL Loss: 1.3655
Epoch [92/100], Total Loss: 2.4784, Reconstruction Loss: 1.1133, KL Loss: 1.3652
Epoch [93/100], Total Loss: 2.4761, Reconstruction Loss: 1.1123, KL Loss: 1.3638
Epoch [94/100], Total Loss: 2.4771, Reconstruction Loss: 1.1119, KL Loss: 1.3651
Epoch [95/100], Total Loss: 2.4757, Reconstruction Loss: 1.1118, KL Loss: 1.3639
Epoch [96/100], Total Loss: 2.4751, Reconstruction Loss: 1.1114, KL Loss: 1.3638
Epoch [97/100], Total Loss: 2.4746, Reconstruction Loss: 1.1105, KL Loss: 1.3641
Epoch [98/100], Total Loss: 2.4752, Reconstruction Loss: 1.1107, KL Loss: 1.3646
Epoch [99/100], Total Loss: 2.4724, Reconstruction Loss: 1.1098, KL Loss: 1.3627
Epoch [100/100], Total Loss: 2.4732, Reconstruction Loss: 1.1095, KL Loss: 1.3636
