Epoch [1/50], Total Loss: 0.2318, Reconstruction Loss: 0.1181, KL Loss: 0.1137
Epoch [2/50], Total Loss: 0.1973, Reconstruction Loss: 0.0811, KL Loss: 0.1163
Epoch [3/50], Total Loss: 0.1931, Reconstruction Loss: 0.0770, KL Loss: 0.1162
Epoch [4/50], Total Loss: 0.1906, Reconstruction Loss: 0.0748, KL Loss: 0.1158
Epoch [5/50], Total Loss: 0.1888, Reconstruction Loss: 0.0732, KL Loss: 0.1156
Epoch [6/50], Total Loss: 0.1874, Reconstruction Loss: 0.0720, KL Loss: 0.1155
Epoch [7/50], Total Loss: 0.1863, Reconstruction Loss: 0.0711, KL Loss: 0.1153
Epoch [8/50], Total Loss: 0.1855, Reconstruction Loss: 0.0703, KL Loss: 0.1152
Epoch [9/50], Total Loss: 0.1849, Reconstruction Loss: 0.0697, KL Loss: 0.1152
Epoch [10/50], Total Loss: 0.1843, Reconstruction Loss: 0.0692, KL Loss: 0.1151
Epoch [11/50], Total Loss: 0.1838, Reconstruction Loss: 0.0686, KL Loss: 0.1151
Epoch [12/50], Total Loss: 0.1833, Reconstruction Loss: 0.0682, KL Loss: 0.1150
Epoch [13/50], Total Loss: 0.1829, Reconstruction Loss: 0.0678, KL Loss: 0.1151
Epoch [14/50], Total Loss: 0.1825, Reconstruction Loss: 0.0674, KL Loss: 0.1151
Epoch [15/50], Total Loss: 0.1820, Reconstruction Loss: 0.0671, KL Loss: 0.1149
Epoch [16/50], Total Loss: 0.1818, Reconstruction Loss: 0.0668, KL Loss: 0.1150
Epoch [17/50], Total Loss: 0.1816, Reconstruction Loss: 0.0666, KL Loss: 0.1150
Epoch [18/50], Total Loss: 0.1812, Reconstruction Loss: 0.0663, KL Loss: 0.1149
Epoch [19/50], Total Loss: 0.1811, Reconstruction Loss: 0.0661, KL Loss: 0.1150
Epoch [20/50], Total Loss: 0.1808, Reconstruction Loss: 0.0659, KL Loss: 0.1149
Epoch [21/50], Total Loss: 0.1808, Reconstruction Loss: 0.0657, KL Loss: 0.1151
Epoch [22/50], Total Loss: 0.1805, Reconstruction Loss: 0.0655, KL Loss: 0.1150
Epoch [23/50], Total Loss: 0.1804, Reconstruction Loss: 0.0653, KL Loss: 0.1150
Epoch [24/50], Total Loss: 0.1801, Reconstruction Loss: 0.0652, KL Loss: 0.1150
Epoch [25/50], Total Loss: 0.1802, Reconstruction Loss: 0.0652, KL Loss: 0.1150
Epoch [26/50], Total Loss: 0.1800, Reconstruction Loss: 0.0650, KL Loss: 0.1150
Epoch [27/50], Total Loss: 0.1799, Reconstruction Loss: 0.0649, KL Loss: 0.1150
Epoch [28/50], Total Loss: 0.1798, Reconstruction Loss: 0.0647, KL Loss: 0.1151
Epoch [29/50], Total Loss: 0.1797, Reconstruction Loss: 0.0647, KL Loss: 0.1150
Epoch [30/50], Total Loss: 0.1797, Reconstruction Loss: 0.0646, KL Loss: 0.1150
Epoch [31/50], Total Loss: 0.1796, Reconstruction Loss: 0.0646, KL Loss: 0.1150
Epoch [32/50], Total Loss: 0.1793, Reconstruction Loss: 0.0643, KL Loss: 0.1150
Epoch [33/50], Total Loss: 0.1794, Reconstruction Loss: 0.0644, KL Loss: 0.1150
Epoch [34/50], Total Loss: 0.1793, Reconstruction Loss: 0.0643, KL Loss: 0.1150
Epoch [35/50], Total Loss: 0.1791, Reconstruction Loss: 0.0641, KL Loss: 0.1150
Epoch [36/50], Total Loss: 0.1792, Reconstruction Loss: 0.0643, KL Loss: 0.1150
Epoch [37/50], Total Loss: 0.1790, Reconstruction Loss: 0.0641, KL Loss: 0.1149
Epoch [38/50], Total Loss: 0.1790, Reconstruction Loss: 0.0640, KL Loss: 0.1150
Epoch [39/50], Total Loss: 0.1789, Reconstruction Loss: 0.0639, KL Loss: 0.1150
Epoch [40/50], Total Loss: 0.1789, Reconstruction Loss: 0.0639, KL Loss: 0.1150
Epoch [41/50], Total Loss: 0.1788, Reconstruction Loss: 0.0638, KL Loss: 0.1150
Epoch [42/50], Total Loss: 0.1788, Reconstruction Loss: 0.0638, KL Loss: 0.1150
Epoch [43/50], Total Loss: 0.1787, Reconstruction Loss: 0.0638, KL Loss: 0.1150
Epoch [44/50], Total Loss: 0.1788, Reconstruction Loss: 0.0638, KL Loss: 0.1150
Epoch [45/50], Total Loss: 0.1786, Reconstruction Loss: 0.0636, KL Loss: 0.1150
Epoch [46/50], Total Loss: 0.1786, Reconstruction Loss: 0.0636, KL Loss: 0.1150
Epoch [47/50], Total Loss: 0.1785, Reconstruction Loss: 0.0635, KL Loss: 0.1150
Epoch [48/50], Total Loss: 0.1784, Reconstruction Loss: 0.0635, KL Loss: 0.1150
Epoch [49/50], Total Loss: 0.1783, Reconstruction Loss: 0.0634, KL Loss: 0.1149
Epoch [50/50], Total Loss: 0.1784, Reconstruction Loss: 0.0634, KL Loss: 0.1150
